t,service_id,service_name,arrival_rate,departure_rate,avg_latency_ms,queue_size,e2e_latency_ms
15.600000000000001,1,Service 1,375.0,395.0,3.884432224701314,1,3.884432224701314
15.8,1,Service 1,340.0,330.0,2.832817116276371,3,2.832817116276371
16.0,1,Service 1,455.0,455.0,4.8405803693503,3,4.8405803693503
16.2,1,Service 1,365.0,380.0,2.768234277681756,0,2.768234277681756
16.400000000000002,1,Service 1,465.0,460.0,4.846595313855363,1,4.846595313855363
16.6,1,Service 1,430.0,435.0,3.658478824282867,0,3.658478824282867
16.8,1,Service 1,430.0,425.0,3.338062194115356,1,3.338062194115356
17.0,1,Service 1,400.0,400.0,3.4116945144491595,1,3.4116945144491595
17.2,1,Service 1,485.0,450.0,4.769490621444206,8,4.769490621444206
17.400000000000002,1,Service 1,450.0,435.0,6.379916854103653,11,6.379916854103653
17.6,1,Service 1,390.0,440.0,11.238813156520422,1,11.238813156520422
17.8,1,Service 1,370.0,370.0,3.335362854633509,1,3.335362854633509
18.0,1,Service 1,505.0,455.0,6.479539706484027,11,6.479539706484027
18.2,1,Service 1,425.0,480.0,5.4016946911682835,0,5.4016946911682835
18.400000000000002,1,Service 1,400.0,385.0,3.494875987864689,3,3.494875987864689
18.6,1,Service 1,440.0,445.0,3.407179078860455,2,3.407179078860455
18.8,1,Service 1,455.0,450.0,7.856817747716921,3,7.856817747716921
19.0,1,Service 1,470.0,480.0,12.326735312780906,1,12.326735312780906
19.200000000000003,1,Service 1,330.0,325.0,3.136478777282456,2,3.136478777282456
19.400000000000002,1,Service 1,440.0,440.0,4.615362133267712,2,4.615362133267712
19.6,1,Service 1,470.0,460.0,12.00216118729304,4,12.00216118729304
19.8,1,Service 1,405.0,425.0,4.967667543056776,0,4.967667543056776
20.0,1,Service 1,465.0,460.0,5.658146741098266,1,5.658146741098266
20.200000000000003,1,Service 1,380.0,385.0,3.0841565630528742,0,3.0841565630528742
20.400000000000002,1,Service 1,455.0,455.0,4.196654316276664,0,4.196654316276664
20.6,1,Service 1,440.0,435.0,10.914607398004318,1,10.914607398004318
20.8,1,Service 1,435.0,435.0,4.034538728366769,1,4.034538728366769
21.0,1,Service 1,460.0,445.0,3.6446601882030873,4,3.6446601882030873
