source,target
s3_avg_queue_size,node1_cpu_usage_pct
s3_avg_queue_size,node2_cpu_usage_pct
s3_avg_queue_size,s3_avg_throughput
s3_avg_queue_size,s3_departure_rate
s3_avg_queue_size,s4_arrival_rate
s3_avg_queue_size,s4_departure_rate
s3_avg_queue_size,s5_arrival_rate
s3_avg_queue_size,s5_avg_queue_size
s3_avg_queue_size,s5_avg_throughput
s3_avg_queue_size,s5_departure_rate
s3_avg_queue_size,s6_arrival_rate
s3_avg_queue_size,s6_avg_latency
s3_avg_queue_size,s6_avg_queue_size
s3_avg_queue_size,s6_avg_throughput
s3_avg_queue_size,s7_avg_queue_size
s3_avg_queue_size,s7_avg_throughput
s3_avg_queue_size,s8_avg_latency
s3_avg_queue_size,s8_avg_throughput
s3_avg_queue_size,wf1_avg_e2e_latency
s3_avg_queue_size,wf1_violation_rate
s3_avg_queue_size,wf2_avg_e2e_latency
s3_avg_threads,node0_avg_cpu_threads
s3_avg_threads,node0_cpu_usage_pct
s3_avg_threads,node1_avg_cpu_threads
s3_avg_threads,node1_cpu_usage_pct
s3_avg_threads,node2_avg_cpu_threads
s3_avg_threads,node2_cpu_usage_pct
s3_avg_threads,s0_avg_latency
s3_avg_threads,s0_avg_throughput
s3_avg_threads,s0_departure_rate
s3_avg_threads,s1_arrival_rate
s3_avg_threads,s1_avg_queue_size
